年月日,摘要,支出,存入,結存,備註
1150223,網銀轉帳 145010000880,,11574,2585580,C9-14 44
1150223,跨行轉入 E 2 - 7,,21847,2607427,45
1150223,現金 C6-13,,13140,2620567,46
1150223,轉帳 145010000821,,8708,2629275,C6-2 47
1150223,轉帳 145010000795,,14287,2643562,B7-6 48
1150223,轉帳 145010000868,,8220,2651782,C8-7 49
1150223,轉帳 145010000820,,8708,2660490,C2-5 50
1150223,轉帳 145010000692,,9806,2670296,A3-8 51
1150223,轉帳 145010000800,,13207,2683503,B7-11 52
1150223,轉帳 145010000848,,13260,2696763,C6-12 53
1150223,轉帳 145010000739,,13322,2710085,B2-3 54
1150223,轉帳 145010000886,,14695,2724780,D1-6 55
1150223,轉帳 145010000788,,15079,2739859,B6-13 56
1150223,轉帳 145010000939,,23359,2763218,E1-3 57
1150224,跨行轉入 145010000932,,17743,2780961,D5-10 58
1150224,現金 145010000898,,15373,2796334,D2-4 59
1150224,現金 B6-6,,13759,2810093,60
1150224,轉帳 145010000691,,9416,2819509,A3-7 61
1150224,轉帳 145010000704,,10308,2829817,A5-7 62
1150224,轉帳 145010000801,,14047,2843864,B7-12 63
1150224,轉帳 145010000745,,14522,2858386,B2-9 64
1150225,跨行轉入 A 3 1 0 管理,,6266,2864652,65
1150225,跨行轉入 管理費 A 2 1,,16880,2881532,A2-10 66
1150225,跨行轉入 145010000740,,13082,2894614,B2-4 67
```
